mutanID,bug,line,(Pos)rank,(Pos)FLscore,(Neg)rank,(Neg)FLscore,susValue,ef,nf,ep,np
5,false,4,8,0.5333333333333333,9,0.4666666666666667,0.4472135954999579,3,0,12,0,
5,false,5,8,0.5333333333333333,9,0.4666666666666667,0.4472135954999579,3,0,12,0,
5,false,6,11,0.33333333333333337,16,0.0,0.0,0,3,5,7,
5,false,8,7,0.6,7,0.6,0.5477225575051661,3,0,7,5,
5,false,9,11,0.33333333333333337,16,0.0,0.0,0,3,3,9,
5,false,11,5,0.7333333333333334,5,0.7333333333333334,0.6546536707079772,3,0,4,8,
5,false,12,11,0.33333333333333337,16,0.0,0.0,0,3,3,9,
5,false,14,1,1.0,2,0.9333333333333333,0.8660254037844387,3,0,1,11,
5,false,15,3,0.8666666666666667,4,0.8,0.6666666666666666,2,1,1,11,
5,false,17,10,0.4,10,0.4,0.3086066999241838,2,1,12,0,
5,false,21,11,0.33333333333333337,16,0.0,0.0,0,3,5,7,
5,false,24,11,0.33333333333333337,16,0.0,0.0,0,3,3,9,
5,false,27,11,0.33333333333333337,16,0.0,0.0,0,3,3,9,
5,false,30,1,1.0,2,0.9333333333333333,0.8660254037844387,3,0,1,11,
5,false,31,6,0.6666666666666667,6,0.6666666666666667,0.5773502691896258,1,2,0,12,
5,true,33,3,0.8666666666666667,4,0.8,0.6666666666666666,2,1,1,11,
