mutanID,bug,line,(Pos)rank,(Pos)FLscore,(Neg)rank,(Neg)FLscore,susValue,ef,nf,ep,np
27,false,41,1,1.0,16,0.0,1.0,3,0,0,0,
27,false,45,1,1.0,16,0.0,1.0,3,0,0,0,
27,false,46,1,1.0,16,0.0,1.0,3,0,0,0,
27,true,49,1,1.0,16,0.0,1.0,3,0,0,0,
27,true,49,1,1.0,16,0.0,1.0,3,0,0,0,
27,false,50,1,1.0,16,0.0,1.0,3,0,0,0,
27,false,51,1,1.0,16,0.0,1.0,3,0,0,0,
27,false,52,1,1.0,16,0.0,1.0,3,0,0,0,
27,false,52,1,1.0,16,0.0,1.0,3,0,0,0,
27,false,62,1,1.0,16,0.0,1.0,3,0,0,0,
27,false,63,1,1.0,16,0.0,1.0,3,0,0,0,
27,false,64,1,1.0,16,0.0,1.0,3,0,0,0,
27,false,65,1,1.0,16,0.0,1.0,3,0,0,0,
27,false,66,1,1.0,16,0.0,1.0,3,0,0,0,
27,false,66,1,1.0,16,0.0,1.0,3,0,0,0,
27,false,67,1,1.0,16,0.0,1.0,3,0,0,0,
