mutanID,bug,line,(Pos)rank,(Pos)FLscore,(Neg)rank,(Neg)FLscore,susValue,ef,nf,ep,np
12,false,41,1,1.0,21,0.09090909090909094,0.5773502691896258,1,0,2,0,
12,false,45,1,1.0,21,0.09090909090909094,0.5773502691896258,1,0,2,0,
12,false,46,1,1.0,21,0.09090909090909094,0.5773502691896258,1,0,2,0,
12,false,47,1,1.0,21,0.09090909090909094,0.5773502691896258,1,0,2,0,
12,false,49,1,1.0,21,0.09090909090909094,0.5773502691896258,1,0,2,0,
12,false,49,1,1.0,21,0.09090909090909094,0.5773502691896258,1,0,2,0,
12,false,50,1,1.0,21,0.09090909090909094,0.5773502691896258,1,0,2,0,
12,false,51,1,1.0,21,0.09090909090909094,0.5773502691896258,1,0,2,0,
12,true,52,1,1.0,21,0.09090909090909094,0.5773502691896258,1,0,2,0,
12,true,52,1,1.0,21,0.09090909090909094,0.5773502691896258,1,0,2,0,
12,false,53,1,1.0,21,0.09090909090909094,0.5773502691896258,1,0,2,0,
12,false,54,1,1.0,21,0.09090909090909094,0.5773502691896258,1,0,2,0,
12,false,57,22,0.045454545454545414,23,0.0,0.0,0,1,1,1,
12,false,58,22,0.045454545454545414,23,0.0,0.0,0,1,1,1,
12,false,62,1,1.0,21,0.09090909090909094,0.5773502691896258,1,0,2,0,
12,false,63,1,1.0,21,0.09090909090909094,0.5773502691896258,1,0,2,0,
12,false,64,1,1.0,21,0.09090909090909094,0.5773502691896258,1,0,2,0,
12,false,65,1,1.0,21,0.09090909090909094,0.5773502691896258,1,0,2,0,
12,false,66,1,1.0,21,0.09090909090909094,0.5773502691896258,1,0,2,0,
12,false,66,1,1.0,21,0.09090909090909094,0.5773502691896258,1,0,2,0,
12,false,67,1,1.0,21,0.09090909090909094,0.5773502691896258,1,0,2,0,
12,false,68,1,1.0,21,0.09090909090909094,0.5773502691896258,1,0,2,0,
12,false,69,1,1.0,21,0.09090909090909094,0.5773502691896258,1,0,2,0,
