mutanID,bug,line,(Pos)rank,(Pos)FLscore,(Neg)rank,(Neg)FLscore,susValue,ef,nf,ep,np
13,false,93,1,1.0,12,0.0,1.0,1,0,0,0,
13,false,94,1,1.0,12,0.0,1.0,1,0,0,0,
13,false,96,1,1.0,12,0.0,1.0,1,0,0,0,
13,false,96,1,1.0,12,0.0,1.0,1,0,0,0,
13,false,98,1,1.0,12,0.0,1.0,1,0,0,0,
13,false,100,1,1.0,12,0.0,1.0,1,0,0,0,
13,false,101,1,1.0,12,0.0,1.0,1,0,0,0,
13,false,102,1,1.0,12,0.0,1.0,1,0,0,0,
13,false,103,1,1.0,12,0.0,1.0,1,0,0,0,
13,false,118,1,1.0,12,0.0,1.0,1,0,0,0,
13,true,124,1,1.0,12,0.0,1.0,1,0,0,0,
13,false,125,1,1.0,12,0.0,1.0,1,0,0,0,
