mutanID,bug,line,(Pos)rank,(Pos)FLscore,(Neg)rank,(Neg)FLscore,susValue,ef,nf,ep,np
19,false,93,1,1.0,22,0.0,1.0,1,0,0,0,
19,false,94,1,1.0,22,0.0,1.0,1,0,0,0,
19,false,96,1,1.0,22,0.0,1.0,1,0,0,0,
19,false,96,1,1.0,22,0.0,1.0,1,0,0,0,
19,false,98,1,1.0,22,0.0,1.0,1,0,0,0,
19,false,100,1,1.0,22,0.0,1.0,1,0,0,0,
19,false,101,1,1.0,22,0.0,1.0,1,0,0,0,
19,false,102,1,1.0,22,0.0,1.0,1,0,0,0,
19,false,103,1,1.0,22,0.0,1.0,1,0,0,0,
19,false,118,1,1.0,22,0.0,1.0,1,0,0,0,
19,false,124,1,1.0,22,0.0,1.0,1,0,0,0,
19,false,125,1,1.0,22,0.0,1.0,1,0,0,0,
19,false,127,1,1.0,22,0.0,1.0,1,0,0,0,
19,false,127,1,1.0,22,0.0,1.0,1,0,0,0,
19,false,129,1,1.0,22,0.0,1.0,1,0,0,0,
19,false,131,1,1.0,22,0.0,1.0,1,0,0,0,
19,false,132,1,1.0,22,0.0,1.0,1,0,0,0,
19,true,133,1,1.0,22,0.0,1.0,1,0,0,0,
19,false,134,1,1.0,22,0.0,1.0,1,0,0,0,
19,false,135,1,1.0,22,0.0,1.0,1,0,0,0,
19,false,136,1,1.0,22,0.0,1.0,1,0,0,0,
19,false,149,1,1.0,22,0.0,1.0,1,0,0,0,
