mutanID,bug,line,(Pos)rank,(Pos)FLscore,(Neg)rank,(Neg)FLscore,susValue,ef,nf,ep,np
11,false,6,1,1.0,24,0.303030303030303,0.7745966692414834,3,0,2,0,
11,false,7,1,1.0,24,0.303030303030303,0.7745966692414834,3,0,2,0,
11,false,11,1,1.0,24,0.303030303030303,0.7745966692414834,3,0,2,0,
11,false,12,1,1.0,24,0.303030303030303,0.7745966692414834,3,0,2,0,
11,false,16,1,1.0,24,0.303030303030303,0.7745966692414834,3,0,2,0,
11,false,18,1,1.0,24,0.303030303030303,0.7745966692414834,3,0,2,0,
11,true,19,1,1.0,24,0.303030303030303,0.7745966692414834,3,0,2,0,
11,true,19,1,1.0,24,0.303030303030303,0.7745966692414834,3,0,2,0,
11,false,20,1,1.0,24,0.303030303030303,0.7745966692414834,3,0,2,0,
11,false,20,1,1.0,24,0.303030303030303,0.7745966692414834,3,0,2,0,
11,false,21,1,1.0,24,0.303030303030303,0.7745966692414834,3,0,2,0,
11,false,22,1,1.0,24,0.303030303030303,0.7745966692414834,3,0,2,0,
11,false,24,1,1.0,24,0.303030303030303,0.7745966692414834,3,0,2,0,
11,false,24,1,1.0,24,0.303030303030303,0.7745966692414834,3,0,2,0,
11,false,27,31,0.09090909090909094,34,0.0,0.0,0,3,1,1,
11,false,28,31,0.09090909090909094,34,0.0,0.0,0,3,1,1,
11,false,29,31,0.09090909090909094,34,0.0,0.0,0,3,1,1,
11,false,32,1,1.0,24,0.303030303030303,0.7745966692414834,3,0,2,0,
11,false,35,29,0.1515151515151515,30,0.12121212121212122,0.4082482904638631,1,2,1,1,
11,false,36,29,0.1515151515151515,30,0.12121212121212122,0.4082482904638631,1,2,1,1,
11,false,42,31,0.09090909090909094,34,0.0,0.0,0,3,1,1,
11,false,47,1,1.0,24,0.303030303030303,0.7745966692414834,3,0,2,0,
11,false,48,1,1.0,24,0.303030303030303,0.7745966692414834,3,0,2,0,
11,false,49,1,1.0,24,0.303030303030303,0.7745966692414834,3,0,2,0,
11,false,52,1,1.0,24,0.303030303030303,0.7745966692414834,3,0,2,0,
11,false,53,1,1.0,24,0.303030303030303,0.7745966692414834,3,0,2,0,
11,false,53,1,1.0,24,0.303030303030303,0.7745966692414834,3,0,2,0,
11,false,54,1,1.0,24,0.303030303030303,0.7745966692414834,3,0,2,0,
11,false,55,1,1.0,24,0.303030303030303,0.7745966692414834,3,0,2,0,
11,false,56,1,1.0,24,0.303030303030303,0.7745966692414834,3,0,2,0,
11,false,61,25,0.2727272727272727,28,0.18181818181818177,0.5773502691896258,1,2,0,2,
11,false,62,25,0.2727272727272727,28,0.18181818181818177,0.5773502691896258,1,2,0,2,
11,false,66,25,0.2727272727272727,28,0.18181818181818177,0.5773502691896258,1,2,0,2,
11,false,67,25,0.2727272727272727,28,0.18181818181818177,0.5773502691896258,1,2,0,2,
