mutanID,bug,line,(Pos)rank,(Pos)FLscore,(Neg)rank,(Neg)FLscore,susValue,ef,nf,ep,np
49,false,6,1,1.0,19,0.28,0.6324555320336759,2,0,3,0,
49,false,7,1,1.0,19,0.28,0.6324555320336759,2,0,3,0,
49,false,11,1,1.0,19,0.28,0.6324555320336759,2,0,3,0,
49,false,12,1,1.0,19,0.28,0.6324555320336759,2,0,3,0,
49,false,16,1,1.0,19,0.28,0.6324555320336759,2,0,3,0,
49,false,18,1,1.0,19,0.28,0.6324555320336759,2,0,3,0,
49,false,19,1,1.0,19,0.28,0.6324555320336759,2,0,3,0,
49,false,19,1,1.0,19,0.28,0.6324555320336759,2,0,3,0,
49,false,20,1,1.0,19,0.28,0.6324555320336759,2,0,3,0,
49,false,20,1,1.0,19,0.28,0.6324555320336759,2,0,3,0,
49,false,21,1,1.0,19,0.28,0.6324555320336759,2,0,3,0,
49,false,22,1,1.0,19,0.28,0.6324555320336759,2,0,3,0,
49,false,24,1,1.0,19,0.28,0.6324555320336759,2,0,3,0,
49,false,24,1,1.0,19,0.28,0.6324555320336759,2,0,3,0,
49,false,27,20,0.24,26,0.0,0.0,0,2,2,1,
49,false,28,20,0.24,26,0.0,0.0,0,2,2,1,
49,false,29,20,0.24,26,0.0,0.0,0,2,2,1,
49,false,32,1,1.0,19,0.28,0.6324555320336759,2,0,3,0,
49,false,35,20,0.24,26,0.0,0.0,0,2,2,1,
49,false,36,20,0.24,26,0.0,0.0,0,2,2,1,
49,false,38,20,0.24,26,0.0,0.0,0,2,2,1,
49,false,42,20,0.24,26,0.0,0.0,0,2,1,2,
49,false,47,1,1.0,19,0.28,0.6324555320336759,2,0,3,0,
49,false,48,1,1.0,19,0.28,0.6324555320336759,2,0,3,0,
49,false,49,1,1.0,19,0.28,0.6324555320336759,2,0,3,0,
49,true,52,1,1.0,19,0.28,0.6324555320336759,2,0,3,0,
