mutanID,bug,line,(Pos)rank,(Pos)FLscore,(Neg)rank,(Neg)FLscore,susValue,ef,nf,ep,np
12,false,6,1,1.0,24,0.28125,1.0,5,0,0,0,
12,false,7,1,1.0,24,0.28125,1.0,5,0,0,0,
12,false,11,1,1.0,24,0.28125,1.0,5,0,0,0,
12,false,12,1,1.0,24,0.28125,1.0,5,0,0,0,
12,false,16,1,1.0,24,0.28125,1.0,5,0,0,0,
12,false,18,1,1.0,24,0.28125,1.0,5,0,0,0,
12,false,19,1,1.0,24,0.28125,1.0,5,0,0,0,
12,false,19,1,1.0,24,0.28125,1.0,5,0,0,0,
12,false,20,1,1.0,24,0.28125,1.0,5,0,0,0,
12,false,20,1,1.0,24,0.28125,1.0,5,0,0,0,
12,false,21,1,1.0,24,0.28125,1.0,5,0,0,0,
12,false,22,1,1.0,24,0.28125,1.0,5,0,0,0,
12,false,24,1,1.0,24,0.28125,1.0,5,0,0,0,
12,false,24,1,1.0,24,0.28125,1.0,5,0,0,0,
12,true,27,27,0.1875,33,0.0,0.4472135954999579,1,4,0,0,
12,false,28,27,0.1875,33,0.0,0.4472135954999579,1,4,0,0,
12,false,29,27,0.1875,33,0.0,0.4472135954999579,1,4,0,0,
12,false,32,1,1.0,24,0.28125,1.0,5,0,0,0,
12,false,35,25,0.25,26,0.21875,0.6324555320336759,2,3,0,0,
12,false,36,25,0.25,26,0.21875,0.6324555320336759,2,3,0,0,
12,false,47,1,1.0,24,0.28125,1.0,5,0,0,0,
12,false,48,1,1.0,24,0.28125,1.0,5,0,0,0,
12,false,49,1,1.0,24,0.28125,1.0,5,0,0,0,
12,false,52,1,1.0,24,0.28125,1.0,5,0,0,0,
12,false,53,1,1.0,24,0.28125,1.0,5,0,0,0,
12,false,53,1,1.0,24,0.28125,1.0,5,0,0,0,
12,false,54,1,1.0,24,0.28125,1.0,5,0,0,0,
12,false,55,1,1.0,24,0.28125,1.0,5,0,0,0,
12,false,56,1,1.0,24,0.28125,1.0,5,0,0,0,
12,false,61,27,0.1875,33,0.0,0.4472135954999579,1,4,0,0,
12,false,62,27,0.1875,33,0.0,0.4472135954999579,1,4,0,0,
12,false,66,27,0.1875,33,0.0,0.4472135954999579,1,4,0,0,
12,false,67,27,0.1875,33,0.0,0.4472135954999579,1,4,0,0,
