mutanID,bug,line,(Pos)rank,(Pos)FLscore,(Neg)rank,(Neg)FLscore,susValue,ef,nf,ep,np
10,false,98,1,1.0,2,0.0,1.0,2,0,0,0,
10,false,99,1,1.0,2,0.0,1.0,2,0,0,0,
