mutanID,bug,line,(Pos)rank,(Pos)FLscore,(Neg)rank,(Neg)FLscore,susValue,ef,nf,ep,np
30,false,20,8,0.36363636363636365,12,0.0,0.0,0,11,11,0,
30,false,21,8,0.36363636363636365,12,0.0,0.0,0,11,11,0,
30,false,23,8,0.36363636363636365,12,0.0,0.0,0,11,11,0,
30,false,24,8,0.36363636363636365,12,0.0,0.0,0,11,11,0,
30,false,26,8,0.36363636363636365,12,0.0,0.0,0,11,11,0,
30,false,31,1,1.0,7,0.4545454545454546,1.0,11,0,0,11,
30,false,32,1,1.0,7,0.4545454545454546,1.0,11,0,0,11,
30,false,33,1,1.0,7,0.4545454545454546,1.0,11,0,0,11,
30,false,33,1,1.0,7,0.4545454545454546,1.0,11,0,0,11,
30,false,34,1,1.0,7,0.4545454545454546,1.0,11,0,0,11,
30,false,37,1,1.0,7,0.4545454545454546,1.0,11,0,0,11,
30,true,38,1,1.0,7,0.4545454545454546,1.0,11,0,0,11,
