[example.KMPSearchTest.kmpSearchTestFront, example.KMPSearchTest.kmpSearchTest4, example.KMPSearchTest.kmpSearchTestNotFound, example.KMPSearchTest.kmpSearchTestLast, example.KMPSearchTest.kmpSearchTestMiddle]
src/main/java/example/KMPSearch.java
00006,o,o,o,o,o
00007,o,o,o,o,o
00011,o,o,o,o,o
00012,o,o,o,o,o
00016,o,o,o,o,o
00018,o,o,o,o,o
00019,o,o,o,o,o
00020,o,o,o,o,o
00021,o,o,o,o,o
00022,o,o,o,o,o
00024,o,o,o,o,o
00025,o,-,o,o,o
00027,o,-,o,o,o
00028,o,-,o,o,o
00029,o,-,o,o,o
00032,o,o,o,o,o
00035,-,o,o,o,o
00036,-,o,o,o,o
00038,-,o,o,o,o
00041,-,o,-,-,-
00042,-,o,-,-,-
00047,o,o,o,o,o
00048,o,o,o,o,o
00049,o,o,o,o,o
00052,o,o,o,o,o
