[example.KMPSearchTest.kmpSearchTestFront, example.KMPSearchTest.kmpSearchTest4, example.KMPSearchTest.kmpSearchTestNotFound, example.KMPSearchTest.kmpSearchTestLast, example.KMPSearchTest.kmpSearchTestMiddle]
src/main/java/example/KMPSearch.java
00006,o,o,x,x,x
00007,o,o,x,x,x
00011,o,o,x,x,x
00012,o,o,x,x,x
00016,o,o,x,x,x
00018,o,o,x,x,x
00019,o,o,x,x,x
00020,o,o,x,x,x
00021,o,o,x,x,x
00022,o,o,x,x,x
00024,o,o,x,x,x
00027,o,-,-,-,-
00028,o,-,-,-,-
00029,o,-,-,-,-
00032,o,o,x,x,x
00035,-,o,-,x,-
00036,-,o,-,x,-
00042,-,o,-,-,-
00047,o,o,x,x,x
00048,o,o,x,x,x
00049,o,o,x,x,x
00052,o,o,x,x,x
00053,o,o,x,x,x
00054,o,o,x,x,x
00055,o,o,x,x,x
00056,o,o,x,x,x
00061,-,-,-,x,-
00062,-,-,-,x,-
00066,-,-,-,x,-
00067,-,-,-,x,-
