mutanID,bug,line,(Pos)rank,(Pos)FLscore,(Neg)rank,(Neg)FLscore,susValue,ef,nf,ep,np
16,false,34,9,0.3846153846153846,11,0.23076923076923073,0.7559289460184544,4,0,3,0,
16,false,35,9,0.3846153846153846,11,0.23076923076923073,0.7559289460184544,4,0,3,0,
16,false,37,9,0.3846153846153846,11,0.23076923076923073,0.7559289460184544,4,0,3,0,
16,false,38,14,0.0,14,0.0,0.0,0,4,1,2,
16,false,41,3,0.8461538461538461,8,0.46153846153846156,0.8164965809277261,4,0,2,1,
16,false,44,3,0.8461538461538461,8,0.46153846153846156,0.8164965809277261,4,0,2,1,
16,false,47,3,0.8461538461538461,8,0.46153846153846156,0.8164965809277261,4,0,2,1,
16,true,48,1,1.0,1,1.0,1.0,4,0,0,3,
16,false,52,3,0.8461538461538461,8,0.46153846153846156,0.8164965809277261,4,0,2,1,
16,false,52,3,0.8461538461538461,8,0.46153846153846156,0.8164965809277261,4,0,2,1,
16,false,54,12,0.15384615384615385,13,0.07692307692307687,0.75,3,1,1,2,
16,false,56,12,0.15384615384615385,13,0.07692307692307687,0.75,3,1,1,2,
16,false,58,2,0.9230769230769231,2,0.9230769230769231,0.8660254037844387,3,1,0,3,
16,false,63,3,0.8461538461538461,8,0.46153846153846156,0.8164965809277261,4,0,2,1,
