mutanID,bug,line,(Pos)rank,(Pos)FLscore,(Neg)rank,(Neg)FLscore,susValue,ef,nf,ep,np
26,false,34,6,0.5,8,0.30000000000000004,0.9258200997725514,6,0,1,0,
26,false,35,6,0.5,8,0.30000000000000004,0.9258200997725514,6,0,1,0,
26,false,37,6,0.5,8,0.30000000000000004,0.9258200997725514,6,0,1,0,
26,false,38,11,0.0,11,0.0,0.0,0,6,1,0,
26,false,41,1,1.0,5,0.6,1.0,6,0,0,1,
26,false,44,1,1.0,5,0.6,1.0,6,0,0,1,
26,false,47,1,1.0,5,0.6,1.0,6,0,0,1,
26,false,48,9,0.19999999999999996,10,0.09999999999999998,0.8164965809277261,4,2,0,1,
26,true,52,1,1.0,5,0.6,1.0,6,0,0,1,
26,true,52,1,1.0,5,0.6,1.0,6,0,0,1,
26,false,63,9,0.19999999999999996,10,0.09999999999999998,0.8164965809277261,4,2,0,1,
