mutanID,bug,line,(Pos)rank,(Pos)FLscore,(Neg)rank,(Neg)FLscore,susValue,ef,nf,ep,np
17,false,34,6,0.6153846153846154,8,0.46153846153846156,0.6546536707079772,3,0,4,0,
17,false,35,6,0.6153846153846154,8,0.46153846153846156,0.6546536707079772,3,0,4,0,
17,false,37,6,0.6153846153846154,8,0.46153846153846156,0.6546536707079772,3,0,4,0,
17,false,38,14,0.0,14,0.0,0.0,0,3,1,3,
17,false,41,1,1.0,3,0.8461538461538461,0.7071067811865476,3,0,3,1,
17,false,44,1,1.0,3,0.8461538461538461,0.7071067811865476,3,0,3,1,
17,false,47,1,1.0,3,0.8461538461538461,0.7071067811865476,3,0,3,1,
17,true,48,4,0.7692307692307692,5,0.6923076923076923,0.6666666666666666,2,1,1,3,
17,false,52,11,0.23076923076923073,13,0.07692307692307687,0.5163977794943222,2,1,3,1,
17,false,52,11,0.23076923076923073,13,0.07692307692307687,0.5163977794943222,2,1,3,1,
17,false,54,9,0.3846153846153846,10,0.3076923076923077,0.5773502691896258,2,1,2,2,
17,false,56,9,0.3846153846153846,10,0.3076923076923077,0.5773502691896258,2,1,2,2,
17,false,58,4,0.7692307692307692,5,0.6923076923076923,0.6666666666666666,2,1,1,3,
17,false,63,11,0.23076923076923073,13,0.07692307692307687,0.5163977794943222,2,1,3,1,
