[example.MinimumPathSumTest.testMinimumPathSumWithNegativeNumberGrid, example.MinimumPathSumTest.testMinimumPathSumGridOneRowGrid, example.MinimumPathSumTest.testMinimumPathSumWithEmptyGrid, example.MinimumPathSumTest.testMinimumPathSumWithRegularGrid, example.MinimumPathSumTest.testMinimumPathSumWithOneRowOneColumnGrid, example.MinimumPathSumTest.testMinimumPathSumWithDiffRowAndColumnGrid, example.MinimumPathSumTest.testMinimumPathSumWithOneColumnGrid]
src/main/java/example/MinimumPathSum.java
00034,x,x,o,x,o,x,o
00035,x,x,o,x,o,x,o
00037,x,x,o,x,o,x,o
00038,-,-,o,-,-,-,-
00041,x,x,-,x,o,x,o
00044,x,x,-,x,o,x,o
00047,x,x,-,x,o,x,o
00048,x,x,-,x,-,x,-
00052,-,-,-,-,o,-,o
00054,-,-,-,-,-,-,o
00056,-,-,-,-,-,-,o
00063,-,-,-,-,o,-,o
