[example.MinimumPathSumTest.testMinimumPathSumWithNegativeNumberGrid, example.MinimumPathSumTest.testMinimumPathSumGridOneRowGrid, example.MinimumPathSumTest.testMinimumPathSumWithEmptyGrid, example.MinimumPathSumTest.testMinimumPathSumWithRegularGrid, example.MinimumPathSumTest.testMinimumPathSumWithOneRowOneColumnGrid, example.MinimumPathSumTest.testMinimumPathSumWithDiffRowAndColumnGrid, example.MinimumPathSumTest.testMinimumPathSumWithOneColumnGrid]
src/main/java/example/MinimumPathSum.java
00034,x,o,o,o,o,o,o
00035,x,o,o,o,o,o,o
00037,x,o,o,o,o,o,o
00038,-,-,o,-,-,-,-
00041,x,o,-,o,o,o,o
00044,x,o,-,o,o,o,o
00047,x,o,-,o,o,o,o
00048,x,o,-,o,-,o,-
00052,x,o,-,o,o,o,o
00054,x,-,-,o,-,o,o
00056,x,-,-,o,-,o,o
00058,x,-,-,o,-,o,-
00063,x,o,-,o,o,o,o
