[example.MinimumPathSumTest.testMinimumPathSumWithNegativeNumberGrid, example.MinimumPathSumTest.testMinimumPathSumGridOneRowGrid, example.MinimumPathSumTest.testMinimumPathSumWithEmptyGrid, example.MinimumPathSumTest.testMinimumPathSumWithRegularGrid, example.MinimumPathSumTest.testMinimumPathSumWithOneRowOneColumnGrid, example.MinimumPathSumTest.testMinimumPathSumWithDiffRowAndColumnGrid, example.MinimumPathSumTest.testMinimumPathSumWithOneColumnGrid]
src/main/java/example/MinimumPathSum.java
00034,o,x,o,x,o,x,o
00035,o,x,o,x,o,x,o
00037,o,x,o,x,o,x,o
00038,-,-,o,-,-,-,-
00041,o,x,-,x,o,x,o
00044,o,x,-,x,o,x,o
00047,o,x,-,x,o,x,o
00048,o,-,-,x,-,x,-
00052,o,-,-,x,o,x,o
00054,o,-,-,x,-,x,o
00056,o,-,-,x,-,x,o
00058,o,-,-,x,-,x,-
00063,o,-,-,x,o,x,o
