[example.MinimumPathSumTest.testMinimumPathSumWithNegativeNumberGrid, example.MinimumPathSumTest.testMinimumPathSumGridOneRowGrid, example.MinimumPathSumTest.testMinimumPathSumWithEmptyGrid, example.MinimumPathSumTest.testMinimumPathSumWithRegularGrid, example.MinimumPathSumTest.testMinimumPathSumWithOneRowOneColumnGrid, example.MinimumPathSumTest.testMinimumPathSumWithDiffRowAndColumnGrid, example.MinimumPathSumTest.testMinimumPathSumWithOneColumnGrid]
src/main/java/example/MinimumPathSum.java
00034,o,o,-,o,x,o,x
00035,o,o,-,o,x,o,x
00037,o,o,-,o,x,o,x
00038,-,-,-,-,x,-,x
00041,o,o,-,o,-,o,-
00044,o,o,-,o,-,o,-
00047,o,o,-,o,-,o,-
00048,o,o,-,o,-,o,-
00052,o,o,-,o,-,o,-
00054,o,-,-,o,-,o,-
00056,o,-,-,o,-,o,-
00058,o,-,-,o,-,o,-
00063,o,o,-,o,-,o,-
