mutanID,bug,line,(Pos)rank,(Pos)FLscore,(Neg)rank,(Neg)FLscore,susValue,ef,nf,ep,np
25,false,13,1,1.0,15,0.0,1.0,4,0,0,0,
25,false,14,1,1.0,15,0.0,1.0,4,0,0,0,
25,false,16,1,1.0,15,0.0,1.0,4,0,0,0,
25,false,16,1,1.0,15,0.0,1.0,4,0,0,0,
25,true,17,1,1.0,15,0.0,1.0,4,0,0,0,
25,false,18,1,1.0,15,0.0,1.0,4,0,0,0,
25,false,20,1,1.0,15,0.0,1.0,4,0,0,0,
25,false,22,1,1.0,15,0.0,1.0,4,0,0,0,
25,false,23,1,1.0,15,0.0,1.0,4,0,0,0,
25,false,26,1,1.0,15,0.0,1.0,4,0,0,0,
25,false,30,1,1.0,15,0.0,1.0,4,0,0,0,
25,false,31,1,1.0,15,0.0,1.0,4,0,0,0,
25,false,33,1,1.0,15,0.0,1.0,4,0,0,0,
25,false,33,1,1.0,15,0.0,1.0,4,0,0,0,
25,false,41,1,1.0,15,0.0,1.0,4,0,0,0,
