mutanID,bug,line,(Pos)rank,(Pos)FLscore,(Neg)rank,(Neg)FLscore,susValue,ef,nf,ep,np
15,false,15,4,0.625,9,0.0,0.9428090415820635,8,0,1,0,
15,false,16,4,0.625,9,0.0,0.9428090415820635,8,0,1,0,
15,false,17,4,0.625,9,0.0,0.9428090415820635,8,0,1,0,
15,false,18,4,0.625,9,0.0,0.9428090415820635,8,0,1,0,
15,false,18,4,0.625,9,0.0,0.9428090415820635,8,0,1,0,
15,true,19,1,1.0,3,0.75,1.0,8,0,0,1,
15,false,20,1,1.0,3,0.75,1.0,8,0,0,1,
15,false,21,1,1.0,3,0.75,1.0,8,0,0,1,
15,false,23,4,0.625,9,0.0,0.9428090415820635,8,0,1,0,
